Episode,Score,Average_Score
1,-379.5015210322337,-379.5015210322337
2,-94.90136922454218,-237.20144512838795
3,-48.17983471236662,-174.19424165638085
4,-245.59261460887276,-192.04383489450382
5,-54.47546944050872,-164.5301618037048
6,-258.7791081961908,-180.2383195357858
7,-87.70587188439005,-167.01939844272925
8,-285.1811743627149,-181.78962043272747
9,-131.98836689910203,-176.2561478178802
10,-138.1100591535192,-172.4415389514441
11,-106.77590789214939,-166.47193612787186
12,-74.5650980167117,-158.81303295194184
13,-110.27460175658615,-155.07930747537603
14,-305.9087873391794,-165.85284175136198
15,-134.46586102172984,-163.7603763693865
16,-141.286713814679,-162.3557724597173
17,-120.6647136272048,-159.90335723427538
18,-145.77479430795492,-159.11843707170203
19,-146.66833070256723,-158.46316831543177
20,-142.06994616491465,-157.6435072079059
21,-86.37261526199046,-154.2496552104814
22,-155.76720248492927,-154.3186346320472
23,-133.54056664179743,-153.41524037160156
24,-112.67454181890513,-151.71771126523916
25,-117.39649574676115,-150.34486264450004
26,-145.36940266635776,-150.15349879918688
27,-145.33045008502043,-149.97486736532886
28,-111.96043761511258,-148.617209159964
29,-121.70697486765567,-147.68927004643615
30,-122.86363801672947,-146.86174897877925
31,-157.66941006550562,-147.21038320738333
32,-162.93255780630867,-147.70170116359975
33,-128.06618727325056,-147.10668559116493
34,-334.7822760008908,-152.62655589733336
35,-148.9565489214637,-152.52169855516564
36,-132.9742461831475,-151.97871376705405
37,-113.83473992192592,-150.94779555502353
38,-119.81930871674635,-150.12862484875308
39,-173.49896264580832,-150.7278642794468
40,-191.72795739170076,-151.75286660725314
41,-107.09882357893159,-150.66374360656238
42,-161.83721185346036,-150.92977856482187
43,-142.15706326768046,-150.7257619300046
44,-134.8493127095435,-150.3649335386305
45,-161.4670751700384,-150.61164779710623
46,-155.35634031277974,-150.71479328657742
47,-150.8668699864501,-150.7180289610428
48,-152.2616642045566,-150.75018802861595
49,-131.34351500409235,-150.35413347709508
50,-137.80841210851256,-150.1032190497234
51,-169.06787522345684,-150.47507505312996
52,-118.46665587671878,-149.85952853050665
53,-155.76767832217593,-149.97100305487777
54,-145.7521801486384,-149.89287670476222
55,-89.29701651208785,-148.79113379216815
56,-184.4827296974037,-149.42848371904736
57,-174.76718494783077,-149.8730223370962
58,-153.8772963058254,-149.94206154345358
59,-174.66775249245663,-150.3611410510638
60,-149.77247337511602,-150.35132992313135
61,-405.1458915726044,-154.5282899501719
62,-190.92934533879583,-155.1154037467626
63,-156.6501796814009,-155.13976526953465
64,21.73130347349766,-152.37615482042477
65,-128.66350067506562,-152.01134475665003
66,-125.78989548808887,-151.61405007076274
67,-142.33674369413356,-151.47558281141005
68,-83.03311704216759,-150.46907596186236
69,-132.20588244744079,-150.20439199788524
70,-9.00733167962484,-148.1872911361958
71,-162.9414494288735,-148.39509618257154
72,0.2096184672485748,-146.33114181243516
73,-206.65830652314887,-147.15754132902026
74,-106.082093046846,-146.60246770358546
75,-232.97295036598558,-147.75407413908414
76,-130.41389807294055,-147.5259139276875
77,-142.94560046523992,-147.4664293372661
78,-127.02542024419968,-147.20436511812423
79,-115.87945595596354,-146.80784728062852
80,-164.4847079441891,-147.02880803892305
81,-226.38357158952113,-148.0084964778193
82,-125.29237255012154,-147.73147057626204
83,-125.52818105503226,-147.46396106395807
84,-119.27016844582012,-147.1283206756469
85,-122.39566048111905,-146.8373482027701
86,-123.02416134786723,-146.56045068120144
87,-132.49047111155195,-146.39872677810203
88,-182.55511266235496,-146.809594799514
89,-144.80139002361935,-146.78703070090847
90,-135.9326151536988,-146.66642608371725
91,-155.1539221946668,-146.75969527174965
92,-120.19721316031112,-146.47097264010358
93,-134.06168359321072,-146.33753942454558
94,-175.61643134836388,-146.64901699820322
95,-135.90211526945836,-146.53589171684803
96,-109.7702113341696,-146.15291587952845
97,10.810792455203924,-144.53473331937656
98,8.132790224017285,-142.9769014464848
99,-156.75326050307058,-143.1160565884705
100,-149.42617278839055,-143.1791577504697
101,-170.3703100174148,-141.08784564032155
102,-172.43376813587895,-141.8631696294349
103,-118.33932959011602,-142.56476457821242
104,-201.74942717293158,-142.126332703853
105,-158.9161266028162,-143.17073927547605
106,15.292845286706267,-140.4300197406471
107,-174.4659370290924,-141.2976203920941
108,-156.1654401971652,-140.00746305043862
109,-126.91064800553892,-139.95668586150296
110,-187.04253692769808,-140.44601063924475
111,-236.25518534451248,-141.7408034137684
112,-236.38464758139133,-143.3589989094152
113,-141.22435182307004,-143.66849641008002
114,-154.73749082791,-142.15678344496735
115,-111.3411395102662,-141.9255362298527
116,-124.40157284798227,-141.75668482018574
117,-180.53515669607955,-142.3553892508745
118,-135.21258039385003,-142.24976711173343
119,-153.6104646985973,-142.31918845169375
120,-151.65110026714495,-142.41499999271605
121,-121.13109945773462,-142.76258483467348
122,-168.78799898816365,-142.89279279970583
123,-151.97059445012889,-143.07709307778916
124,-160.74280962038682,-143.55777575580396
125,-127.64811526142856,-143.66029195095064
126,-99.8193768112412,-143.20479169239945
127,-143.8655173013599,-143.19014236456286
128,-117.81387491627123,-143.24867673757444
129,-212.34084082628914,-144.15501539716078
130,-163.0270915265703,-144.55664993225918
131,-91.31655964246812,-143.89312142802882
132,-130.32110206870914,-143.56700687065282
133,-156.71042318729297,-143.85344922979323
134,-147.13809152953237,-141.97700738507965
135,-139.79040511052415,-141.88534594697023
136,-147.26475687698922,-142.0282510539087
137,-130.29930078875086,-142.1928966625769
138,-137.89312600738586,-142.37363483548333
139,-148.9647580408108,-142.12829278943335
140,-146.0420826130453,-141.6714340416468
141,-143.24332698528312,-142.0328790757103
142,-156.77000742589354,-141.98220703143463
143,-141.8207153589664,-141.97884355234748
144,-49.84652071684154,-141.12881563242047
145,-139.1638293115713,-140.90578317383583
146,-129.99550016367144,-140.65217477234472
147,-119.14567903490871,-140.33496286282931
148,-316.0002497148805,-141.97234871793253
149,-177.0148930379088,-142.42906249827072
150,-163.83207243974965,-142.68929910158306
151,-110.66207354192693,-142.10524108476775
152,-103.36439190240918,-141.95421844502468
153,-155.47684363361205,-141.95131009813906
154,-145.4081516642255,-141.94786981329491
155,-137.92448309312547,-142.4341444791053
156,-107.59015437956214,-141.6652187259269
157,-123.08080836781171,-141.1483549601267
158,-99.27184322092063,-140.60230042927765
159,-136.27966618563164,-140.2184195662094
160,-226.40601510591694,-140.9847549835174
161,-201.17136239468226,-138.94500969173816
162,-150.14850269233074,-138.53720126527352
163,-168.66677970938815,-138.6573672655534
164,-132.18305810325916,-140.19651088132096
165,-159.87147817407137,-140.50859065631101
166,-144.2053745528128,-140.69274544695824
167,-127.70656852901583,-140.5464436953071
168,-164.16756406011888,-141.3577881654866
169,-424.06869418597114,-144.27641628287188
170,-145.36642074201293,-145.6400071734958
171,-103.94673090376047,-145.05005998824467
172,-148.01083078149185,-146.53226448073207
173,-161.19707097590262,-146.0776521252596
174,-147.9343481684072,-146.4961746764752
175,-153.81810901641518,-145.7046262629795
176,-203.3752619187515,-146.4342399014376
177,-159.08307186956182,-146.5956146154808
178,-95.74733827397691,-146.2828337957786
179,-152.55588922564226,-146.6495981284754
180,-148.73419728270508,-146.49209302186057
181,-101.06971942546654,-145.23895450022002
182,-102.92051094143677,-145.01523588413318
183,-198.06842994056467,-145.74063837298846
184,-137.87169337532714,-145.92665362228354
185,-154.24146758600682,-146.24511169333243
186,-151.6589840394101,-146.53145992024784
187,-125.03064416377565,-146.4568616507701
188,-165.19385004943604,-146.2832490246409
189,-152.39050539905978,-146.3591401783953
190,-165.98587106017402,-146.65967273746006
191,-155.4967442559829,-146.66310095807322
192,-139.1843814324675,-146.8529726407948
