Episode,Score,Average_Score
0,273.73106110052004,273.73106110052004
1,252.7560227281641,263.2435419143421
2,243.2762126520701,256.58776549358475
3,-119.74120116515982,162.5055238288986
4,254.4241094344899,180.88924095001684
5,263.18717822285305,194.6055638288229
6,-223.3267701560767,134.90094468812296
7,253.53079851274356,149.72967641620053
8,220.76714561402125,157.62272854929174
9,233.49263796394828,165.20971949075738
10,-200.8516378395812,131.93141427890842
11,251.65460880928302,141.90834715643965
12,232.80144669081508,148.9001240436993
13,247.68149362231355,155.95593615645745
14,243.74740435576913,161.80870070307822
15,267.7365652043996,168.4291922344108
16,240.27245236971785,172.6552663600171
17,244.05776896219038,176.62207206013784
18,274.0104136975742,181.74777425158186
19,257.6309684834555,185.54193396317555
20,-62.8578268608174,173.71337392393778
21,68.25742943059147,168.91992190151294
22,266.88500970372354,173.1792735450873
23,257.32763716679847,176.68545536265864
24,245.92623569344087,179.4550865758899
25,222.67196326951915,181.1172741410295
26,213.15645063698258,182.3039103075463
27,253.26552120096162,184.83825355373966
28,211.83949277739103,185.7693307683483
29,197.33122392151103,186.15472720678707
30,205.03898349736326,186.7638967645476
31,266.1595361046467,189.24501049392572
32,223.74120933376892,190.29034985270886
33,277.9794889684713,192.86944217964302
34,224.30660926977228,193.76764695364673
35,247.63250951766665,195.2638931359806
36,10.374498600929272,190.26688247287112
37,-254.869800445491,178.55275923817737
38,258.2892118772246,180.5972836648196
39,61.22022187657159,177.6128571201134
40,223.46502828870075,178.73120275837164
41,50.0308445824732,175.6669085160883
42,269.588121816386,177.85112277888595
43,147.68685187213208,177.16557116736882
44,248.58888266755451,178.75275586737294
45,244.5888202311665,180.18397465789022
46,259.1057004531092,181.8631603131076
47,-201.1524032959078,173.8836694045865
48,70.98015815613317,171.7835977464548
49,245.57171292816702,173.25936005008904
50,-44.87564606856125,168.98220306737042
51,208.10870389536322,169.73463577560102
52,287.63021167189015,171.95908060383292
53,-24.655413582331946,168.31807145223726
54,253.794209782395,169.87218305824013
55,252.76556315028083,171.35242198845512
56,277.03992757748824,173.20658875317503
57,246.22240557597755,174.46548214667163
58,271.25552057425864,176.10599127256293
59,243.5170252918789,177.22950850621822
60,180.71621576787106,177.28666764165513
61,-229.24626083434518,170.7296849243003
62,215.05731190674922,171.43329805100583
63,250.1107496048307,172.66263323153433
64,-257.3434549253227,166.04715495219807
65,245.69356700318136,167.25391877115234
66,280.0468879941601,168.93739592373456
67,-267.70393042147725,162.51619994806967
68,249.774984508206,163.7808200141586
69,262.9965577817426,165.19818769655265
70,282.52209407513976,166.85063708216654
71,86.66706146163585,165.7369763096592
72,266.22997972446865,167.1135927947936
73,258.0144419343553,168.34198264803092
74,214.04919197272582,168.95141210569352
75,171.9948371343782,168.99145717186042
76,-257.9609288101468,163.4466209902759
77,267.32750206081164,164.7784271578469
78,195.88053428603723,165.1721247164316
79,277.12690389645223,166.57155945618183
80,241.17365413633726,167.49257297075164
81,77.1600042885785,166.39095627950564
82,194.63057840308352,166.73119269063307
83,199.42400362245314,167.1203928207738
84,235.56139095215875,167.9255810340842
85,271.0899737235459,169.12516699558955
86,261.98629885969274,170.19253632736087
87,-194.84296530452326,166.04440562699855
88,169.64460651909545,166.08485732241536
89,254.83454726701945,167.07096498846653
90,154.45933947679492,166.93237569712946
91,171.4904826417672,166.98192033783207
92,198.96074919662396,167.32577871265778
93,235.73837989893866,168.05357234229908
94,-198.4443312213113,164.19569967320842
95,-328.9873305316054,159.05837644190828
96,286.4647106613503,160.3718438049953
97,229.46621859889333,161.07688844574935
98,209.77625177678004,161.56880120666887
99,-202.6977007901707,157.92613618670046
100,156.50074285706796,157.91202338145658
101,234.07644972675388,157.51940346686484
102,184.97262240952736,156.8482806914328
103,239.86864364194946,156.8145423844019
104,256.13257967229504,160.536064966951
105,-217.67207551427265,155.86184531399294
106,261.12774503995763,155.8414548864395
107,251.77769994449466,160.54545954090062
108,214.52971661655675,160.15931021519577
109,85.71261279749213,158.82213662295288
110,-249.82073005500405,154.0368557514781
111,-55.72061832178871,155.47379653878298
112,-134.18255533832306,151.6536265967275
113,238.43125847769122,151.70936730748863
114,242.67176629025676,151.65976604677522
115,243.80524685832643,151.66033874482034
116,241.2178129179525,151.39777684099414
117,-295.6078579094787,146.09203119466545
118,224.64393678019474,145.89981503444767
119,260.4974441978935,145.7660232572231
120,259.63469945300693,145.7858621777137
121,282.03940250844494,149.2006862308747
122,230.01262799529485,150.80222285032724
123,226.35012112292628,150.4008873198243
124,253.12172027193836,150.35924457829103
125,-268.4769743436919,145.26614348881444
126,256.8114476061272,145.6041581852165
127,-297.51127813282625,140.54804205878278
128,266.5677005994704,140.67974680530267
129,-161.26800071102548,136.98561320640744
130,-38.09636406772199,134.6546469886923
131,233.59835981388173,134.93741309083603
132,-232.62534906273547,129.99894888125797
133,257.52205922577105,130.33341274157482
134,256.55994777453066,130.12133807628828
135,231.12288988666828,130.18882600318827
136,-140.05165545779317,126.35036892422332
137,251.87380139320965,128.74145113008743
138,245.4750386854592,133.6953604284137
139,270.43162040898505,133.8155822950648
140,193.69404481279275,135.1272043043343
141,213.9339649951946,135.03283734103226
142,262.2313698678619,137.13383264088762
143,-11.907308836918702,134.3467491690727
144,212.1367739470789,134.98486720941872
145,-54.09626706344031,131.98798453881483
146,215.28231214484262,131.69782109241558
147,-75.02793910824207,128.38956723537245
148,243.60629192238406,132.79311867317736
149,186.37678762937105,133.935659559051
150,246.68653540569443,133.94669740536312
151,-103.90864816158599,133.36221223612526
152,260.5688865335742,133.88161998501846
153,250.8338505300744,133.51729957767373
154,-54.45965679778503,133.22220806068904
155,216.4652031721402,132.85261393583505
156,252.60759015160085,132.85104984673924
157,-197.74885136562847,128.15017084730243
158,283.6443355032528,128.52068500499823
159,272.5015956244123,128.53302238173242
160,-178.4165848817867,124.35546188496346
161,217.1552751170884,124.71624465079726
162,247.3432888493775,129.43495306350738
163,202.52262955253474,129.31084729762406
164,254.97755243638676,129.35903346427318
165,269.1847742299358,134.5721842479886
166,241.68726138126814,134.53251785569242
167,223.13734709824186,133.96905705474273
168,201.08804827825094,138.610561794344
169,233.32245035738327,138.4476654166131
170,225.05642796956087,138.07202056698753
171,276.0951448237955,138.00838740608313
172,237.58186300581932,139.50259336196612
